step	l2
0	0.575868863190958
1	0.47154555606772103
2	0.3887831314444787
3	0.3192041419776004
4	0.26446309472400154
5	0.2177918489568385
6	0.1817034861441523
7	0.15174368671639565
8	0.12679997428000148
9	0.10481918745517722
10	0.0881829390328339
11	0.07448132756188448
12	0.06336133366718529
13	0.05380862828369193
14	0.04724395785582877
15	0.040328852901935754
16	0.03561251388934645
17	0.03130317589857488
18	0.02896866672453939
19	0.02614722530825231
20	0.023395530338440985
21	0.021138237340115256
22	0.01957441063669223
23	0.018594077687458552
24	0.01741623301288368
25	0.017285098251112463
26	0.016922006691318957
27	0.01671294475011859
28	0.01601912877115065
29	0.015954675481753493
30	0.016232249053796603
31	0.01632716230476743
32	0.01656357933226213
33	0.016680374589110047
34	0.016823437258900915
35	0.016978629179630448
36	0.01715150986733784
37	0.017155084514135298
38	0.017424763834323974
39	0.017317082076515635
40	0.017373896326330084
41	0.017336935070253207
42	0.017379768790245092
43	0.01746771159603213
44	0.017529856811271675
45	0.017583349316513133
46	0.01762376392573214
47	0.01773934037600711
48	0.017784090660080975
49	0.017832542631103877
50	0.017904115117519017
51	0.01777747097820058
52	0.017859031454377703
53	0.018043318104417026
54	0.01792386457627093
55	0.0181064666517186
56	0.018173352509950207
57	0.018222479725315703
58	0.01827528062920793
59	0.01832658192762732
60	0.018452071376635404
61	0.01863081974063389
62	0.018515242832659703
63	0.018691948060678833
64	0.018734122537437687
65	0.018787417424012097
66	0.018960090629350893
67	0.018853780858431382
68	0.018902656573600123
69	0.01907055207763953
70	0.01914099945375236
71	0.019041371683309518
72	0.019096688820339405
73	0.019263089335405735
74	0.019303717403290056
75	0.019432519056206802
76	0.019343505699571398
77	0.019505091830532326
78	0.019427422148341315
79	0.019499162960739922
80	0.019556045820702136
81	0.019715697621121735
82	0.019789534523237656
83	0.019801956265365843
84	0.01999851084180738
85	0.020115307291404715
86	0.020143574847885034
87	0.020250375581478693
88	0.020296624051456956
89	0.02042903275815739
90	0.020362776795786162
91	0.020457460664282494
92	0.020584402366892837
93	0.020628045769035794
94	0.020565395479807114
95	0.020694506035767717
96	0.02065614678530869
97	0.020608285985672502
98	0.020648622148743516
99	0.020846913740330965
